trapid	cayoid	age	sex	PC1	PC2
T20057	5C0	15.41	f	0.533020767	2.379451211
T20057	5C0	15.41	f	0.533020767	2.379451211
T20057	5C0	15.41	f	0.533020767	2.379451211
T20020	5D9	14.45	f	-1.192923163	-2.311963661
T20020	5D9	14.45	f	-1.192923163	-2.311963661
T20020	5D9	14.45	f	-1.192923163	-2.311963661
T20020	5D9	14.45	f	-1.192923163	-2.311963661
T20112	5E4	13.08	m	-0.555140684	0.515173253
T20112	5E4	13.08	m	-0.555140684	0.515173253
T20112	5E4	13.08	m	-0.555140684	0.515173253
T20112	5E4	13.08	m	-0.555140684	0.515173253
T20009	5G3	12.57	m	0.125437945	-1.106203206
T20009	5G3	12.57	m	0.125437945	-1.106203206
T20009	5G3	12.57	m	0.125437945	-1.106203206
T20104	5K3	10.57	f	-0.386247953	-2.159908859
T20104	5K3	10.57	f	-0.386247953	-2.159908859
T20104	5K3	10.57	f	-0.386247953	-2.159908859
T20104	5K3	10.57	f	-0.386247953	-2.159908859
T20130	5K8	10.44	m	-0.245600134	-1.288102452
T20130	5K8	10.44	m	-0.245600134	-1.288102452
T20130	5K8	10.44	m	-0.245600134	-1.288102452
T20130	5K8	10.44	m	-0.245600134	-1.288102452
T20068	5P4	8.36	m	1.876770902	-2.331464304
T20068	5P4	8.36	m	1.876770902	-2.331464304
T20068	5P4	8.36	m	1.876770902	-2.331464304
T20068	5P4	8.36	m	1.876770902	-2.331464304
T20001	5Q0	7.67	m	-1.116399219	-0.554583434
T20001	5Q0	7.67	m	-1.116399219	-0.554583434
T20001	5Q0	7.67	m	-1.116399219	-0.554583434
T20001	5Q0	7.67	m	-1.116399219	-0.554583434
T20092	5R6	7.71	m	-1.096053921	-1.787028002
T20092	5R6	7.71	m	-1.096053921	-1.787028002
