sample	sex	age	cd3tcells	bcells	nkcells	cd20hladrpos	cd8tregs	cd4tcells	cd8tcells	tregs	cd16pos	cd14cd16pos	cd14pos	cd16hladrpos	cd14cd16hladrpos	cd14hladrpos
36V	m	17.17	44.7	55.2	0.098	46.7	0.59	18	23.7	1.37	4.61	1.13	94.3	0.83	0.18	99
37N	m	20.67	48	51.2	0.81	44.6	0.82	25.6	18.2	4.57	16.5	4.79	78.7	4.43	1.6	94
42L	f	20.83	81.8	17.6	0.58	9.98	0.49	24.4	47.7	2.22	8.11	3.36	88.5	11.7	4.65	83.7
43F	f	23.92	74.3	24.7	1.02	18.8	0.34	29.8	34.9	1.63	21.1	4.54	74.4	6.88	2.54	90.6
53E	f	24.83	22.8	48	29.1	37.4	0.2	10.8	10.3	1.38	41	41.4	17.5	50.1	40.7	9.18
78T	f	17.83	58.6	34.4	7.04	29.3	0.49	28.1	26.6	1.94	22.3	10	67.6	30.7	9.22	60.1
79Z INF	m	0.5	33.3	66.4	0.35	57.4	0.049	26.3	4.73	1.53	3.59	1.6	94.8	2.38	0.63	97
79Z	f	16	67.3	32.7	0.019	28.6	0.1	23.5	36.6	1.16	2.68	0.85	96.5	0.31	0	99.7
93R	m	19	72.9	27.1	0.089	23.1	0.48	27.9	41.2	3.2	11.6	4.89	83.5	2.17	0.53	97.3
93Z	f	15.83	67.8	32.1	0.18	26.4	0.34	39	23.7	2.71	32.9	5.66	61.4	1.94	0.59	97.5
98K	m	21.58	80.4	19.6	0.029	15.4	0.18	19.3	58.1	0.84	15.8	2.63	81.6	2.33	1.33	96.3
98T	f	16.83	64.7	34.4	0.87	26.5	0.4	33.3	26.7	2.86	18.2	3.62	78.2	9.53	1.57	88.9
0J4	m	11.42	71.1	13	15.9	9.22	0.82	15.7	50.2	2.05	36.2	22.2	41.7	11.6	9.92	78.5
0P0	m	8.25	57	21.1	21.9	18.3	0.53	22.9	30	3.59	41	16.4	42.6	7.14	5.12	87.7
00V INF	f	17.17	39.1	45.6	15.3	38	0.29	21.5	14.1	0.78	60.5	8.89	30.6	20.8	5.07	74.1
1B1	m	16.25	36.9	10.5	52.6	7.6	0.56	8.96	25	1.11	38	23.9	38.1	28.5	10.1	61.4
1G1 INF	m	0.5	46.8	51.8	1.43	43.3	0.74	17.8	21	0.98	30.7	5.75	63.6	0.68	0.063	99.3
1G0	f	12.17	78	18.2	3.77	15.3	0.78	37.8	35.5	4.77	15.2	6.06	78.8	0.43	1.07	98.5
1G1	f	12.25	58.7	29.8	11.5	21.2	1.11	27.2	24.6	2.56	39.8	12.1	48.1	10.6	1.36	88
1I6	f	11.25	63.9	17.6	18.6	13.9	0.92	26	32.4	2.25	65.4	12.1	22.5	25.2	3.61	71.2
1J0	m	11	59.2	22.4	18.4	18.5	0.63	21.7	31.9	3.85	43.9	24.4	31.7	8.15	8.13	83.7
1L5	f	10.08	73	20.6	6.37	17.8	0.59	34.9	33.1	4.12	37.3	12.6	50.1	12.1	6.21	81.7
2A5 INF	f	0.5	36.6	48.1	15.4	40.1	0.51	23	8.46	0.71	57	20	23	7.44	10.7	81.8
2A7 INF	m	0.5	66.1	32.5	1.36	25.6	1.36	36.2	17.2	0.95	19.2	15.4	65.3	4.39	8.34	87.3
2A5	f	16	46.4	26.6	27	22.4	0.47	26.8	13.8	3.47	45.7	18.7	35.5	5.63	5.57	88.8
